ANO;NO REGISTRADO;IGNORADO;ILETRADO;INCIAL;PRIMARIA INCOMPLETA;PRIMARIA COMPLETA;SECUNDARIA INCOMPLETA;SECUNDARIA COMPLETA;SUPERIOR NO UNIV. INC.;SUPERIOR NO UNIV. COMP.;SUPERIOR UNIV. INC.;SUPERIOR UNIV. COMP.
2012;0;0;500;27;4317;4962;14697;33308;3960;5732;2459;3142
2013;0;0;2140;80;15437;17338;42240;84441;12562;17745;8025;12065
2014;0;0;3087;77;22863;25342;57370;113623;17999;30128;13016;21734
2015;4;0;4337;103;31046;34440;75430;148144;24474;43695;18163;33237
2016;8;59;4696;94;31746;40507;82981;156591;27171;49128;21140;38914
2017;6;64;4779;91;30964;42082;86376;163176;28856;51459;22701;42888
2018;9;134;4393;96;28828;40587;84283;167761;29617;55863;24527;51354
2019;0;212;3947;91;26483;38447;80044;164937;29070;55934;24582;55032
2020;0;389;3404;76;23617;34118;75122;160799;27531;53463;22883;54577
2021;0;528;3742;91;26384;38232;78966;160551;25697;50942;20056;51993
2022;0;459;3448;72;23783;36077;75341;162682;25870;53929;19995;58179
2023;0;268;2669;55;19324;30415;63080;145535;23262;48110;17602;55176
