ANO;IGNORADO;1;2;3;4;5
2012;0;199;3382;15664;18484;35375
2013;0;5530;20177;41730;48406;96230
2014;0;15770;38833;55489;60945;134202
2015;192;29369;56560;71706;76976;178270
2016;701;38591;67027;78777;87297;180642
2017;729;42860;69788;87329;90891;181845
2018;588;42623;70202;90878;95430;187731
2019;726;41568;69185;88119;93505;185676
2020;733;45677;68340;81215;86216;173798
2021;753;56134;73533;81552;80969;164241
2022;709;52947;73385;82338;81714;168742
2023;544;41880;65257;71655;72624;153536
